,Demand,MCE,Total Ems,Avg Ems,Marginal Ems,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,77794.09375,21.799999237060547,67610.31534693221,0.8690931674608294,4,52248.49372372031,12215.300003051758,9026.00001335144,0.0,177.0,0.0,1003.2000002339482,3177.1000096425414,57.0,0.0
01,76560.609375,21.549999237060547,66376.01541218099,0.8669734469727892,4,51160.90933302045,12221.300003051758,8835.700017929077,0.0,177.0,0.0,1002.4000000432134,3236.300020955503,57.0,0.0
02,75058.90625,21.079999923706055,65066.21771162364,0.8668687163506814,27,50341.3999671936,11937.300003051758,8408.80625334382,0.0,165.0,0.0,1002.4000000432134,3277.0000263676047,57.0,0.0
03,75177.203125,21.0,65216.320266221956,0.8675012843692029,4,50616.40312322974,11861.300003051758,8281.599977493286,0.0,165.0,0.0,1002.4000000432134,3323.5000211820006,57.0,0.0
04,76442.8046875,21.190000534057617,66494.96817490706,0.8698656262906636,27,51639.099979400635,11941.300003051758,8555.804685205221,0.0,165.0,0.0,1002.4000000432134,3212.200019799173,57.0,0.0
05,81254.6953125,22.329999923706055,70909.93337655492,0.8726872103063111,4,55087.99525915086,12220.500015258789,9621.300035476685,0.0,177.0,0.0,1002.4000000432134,3218.5000025704503,57.0,0.0
06,90169.8984375,24.040000915527344,79096.08657905724,0.8771894828503282,4,61442.8983868286,13558.199996948242,10857.700029373169,0.0,145.0,0.0,1032.4000000432134,3186.700024306774,57.0,0.0
07,95156.6015625,24.899999618530273,83372.99428470731,0.8761661609987923,4,64126.401562310755,13761.199996948242,12798.19999885559,0.0,145.0,181.0,1043.3999996632338,3144.400004722178,57.0,74.0
08,94173.3046875,24.68000030517578,82287.53268000254,0.873788309256656,52,63003.20001602173,13705.199996948242,12946.300020217896,0.0,145.0,181.0,1048.2999994978309,3183.4000175893307,57.0,302.0
09,91365.1015625,24.040000915527344,79775.8352913505,0.8731543436941112,4,61435.00156074017,13637.199996948242,11625.599992752075,0.0,145.0,181.0,1048.2999994978309,3336.000012561679,57.0,537.0
10,89870.6015625,23.719999313354492,78684.28351317639,0.8755286172025437,27,60765.50001525879,13443.199996948242,11196.101534813643,0.0,145.0,181.0,1048.2999994978309,3354.5000159814954,57.0,656.0
11,86601.09375,22.920000076293945,75609.3215387433,0.8730758269290716,4,58504.49374322593,13253.099990844727,10217.200017929077,0.0,145.0,181.0,1048.2999994978309,3314.9999985024333,57.0,723.0
12,84589.5,22.540000915527344,73736.107172591,0.8716933800600666,27,56964.19999694824,12944.300003051758,10083.099978238344,0.0,145.0,179.0,1018.2999994978309,3318.600022263825,57.0,751.0
13,82924.0,22.350000381469727,72265.78219107639,0.8714700471645891,4,56013.69996865094,12449.300003051758,9823.800022125244,0.0,145.0,179.0,1018.2999994978309,3357.90000667423,57.0,699.0
14,81414.8984375,22.100000381469727,70847.40918959114,0.8702020213656444,4,54952.89845204353,12402.300003051758,9358.799968719482,0.0,145.0,179.0,1018.2999994978309,3421.6000141873956,57.0,622.0
15,80879.296875,22.040000915527344,70271.88441885466,0.8688488542062968,4,54452.69688882679,12318.300003051758,9348.699968338013,0.0,145.0,179.0,1018.2999994978309,3460.300015285611,57.0,355.0
16,81252.203125,22.25,70539.82350550094,0.8681589026820735,4,54670.903104647994,12354.300003051758,9377.599988937378,0.0,145.0,181.0,1018.2999994978309,3548.1000288650393,57.0,151.0
17,87167.1015625,22.969999313354492,75752.20092613516,0.8690457703451319,4,58656.80149708688,13292.300003051758,10155.80004310608,0.0,145.0,181.0,1018.2999994978309,3760.9000197574496,57.0,0.0
18,90809.796875,23.75,78787.579595365,0.8676110101183947,4,60866.69687215984,13521.199996948242,11117.099981307983,0.0,145.0,179.0,1048.2999994978309,3995.500025086105,57.0,0.0
19,90187.3984375,23.600000381469727,78048.7630127388,0.8654065242476942,4,60251.59841071069,13525.199996948242,10945.399995803833,0.0,145.0,179.0,1078.2999994978309,4125.9000345394015,57.0,0.0
20,88969.5,23.260000228881836,76977.3723845288,0.8652108012805377,27,59652.40000152588,13501.199996948242,10259.299975328147,0.0,145.0,179.0,1078.2999994978309,4217.300026699901,57.0,0.0
21,85896.1015625,22.5,73904.52427591759,0.8603943942920732,4,56974.90152595192,13507.300003051758,9965.800012588501,0.0,145.0,0.0,1078.2999994978309,4287.800021409988,57.0,0.0
22,80167.3046875,21.639999389648438,68646.3072810303,0.8562880783958039,4,52913.4046356827,12886.300003051758,8909.500011444092,0.0,145.0,0.0,1067.3999989256263,4288.700038395822,57.0,0.0
23,74862.796875,20.530000686645508,63872.093150646346,0.853188710773055,4,49250.9968341887,12154.300003051758,8093.600002288818,0.0,133.0,0.0,1032.4000000432134,4241.500035427511,57.0,0.0
